date_period,measure,cdid,value,unit,pre_unit
1938,LG: Current receipts: Interest and dividends: £m CPNSA,MSD9,,m,£
1938,LG: Current receipts: Other current taxes: Council tax (D591a): £m CPNSA,NMHM,,m,£
1938,LG: Current receipts: Other current taxes: Other: £m CPNSA,MSE8,,m,£
1938,LG: Current receipts: Other receipts: £m CPNSA,MSE2,,m,£
1938,LG: Current receipts: Rent and other current transfers: £m CPNSA,ANBX,,m,£
1938,LG: From central government to local government: £m CPNSA,ABEC,,m,£
1938,LG: Gross operating surplus: £m CPNSA,NRLT,,m,£
1938,LG: Increase in inventories and valuables (P52&P53): £m CPNSA,ANMZ,,m,£
1938,LG: Interest & dividends from private sector and rest of world (D41/42):£m CPNSA,GVHF,,m,£
1938,LG: Net Financial Liabilities: NSA:£m,CPPI,,,
1938,LG: Net Investment: Capital grants to private sector (D92 & D99): £m CPNSA,ANNJ,,m,£
1938,LG: Net acquisition of company securities (F5 assets): £m CPNSA,LSIB,,m,£
1938,LG: Net cash requirement: £m CPNSA,ABEG,,m,£
1938,LG: Net investment: £m CPNSA,ANNT,,m,£
1938,LG: Net investment:Capital grants (net) within public sector (D92&D99): £m CPNSA,ANNE,,m,£
1938,LG: Net lending to private sector and Rest of World: £m CPNSA,ADDU,,m,£
1938,LG: Other financial transactions: £m CPNSA,ANMW,,m,£
1938,LG: Other: Contribution to PS net cash requirement: £m CPNSA,AAZK,,m,£
1938,LG: Pension contributions (D61): £m CPNSA,NSMM,,m,£
1938,LG: Total capital expenditure: £m CPNSA,MSE6,,m,£
1938,LG: Total current expenditure: £m CPNSA,ANLQ,,m,£
1938,LG: Total current expenditure: £m CPNSA,MSE5,,m,£
1938,LG: Total current receipts: £m CPNSA,ANBW,,m,£
1938,LG: Total expenditure: £m CPNSA,MSE7,,m,£
1938,LG: Total revenue: Current receipts: Taxes: £m CPNSA,MSF3,,m,£
1938,LG: Total revenue: £m CPNSA,MSE4,,m,£
1938,Liabilities associated with additional Public-Private Partnerships: Imputed finance lease loans (AF.423): £m: CP: NSA,JEJT,,,
1938,Local Government: Current receipts: Other current taxes (nmis-ebfs),MJBB,,,
1938,Local Government: Gross Saving: B.8g: CP NSA,NRLX,,,
1938,Local Government: Net Worth: (B.90): £m: CP: NSA,J8UP,,,
1938,Local Government:LI:LEVEL:Debt securities and loans: £m CP NSA,JM9T,,,
1938,Local Government:LI:LEVEL:Securities other than shares: CP NSA,NJHY,,,
1938,Local Govt: P.51c: Consumption of fixed capital,NSRO,,,
1938,Local government (S.1313): Net Lending (+) / Net borrowing (-) (B.9N): CP £m: NSA,NMOE,,m,£
1938,MS Finance: Total bank lending to PC's (sterling & ECS) #m,EYJR,,,
1938,Net difference in valuation of British Government Securities: £m: CP: NSA,JE4Q,,,
1938,Net premia/discounts of gilt issuances: £m CPNSA,LSIW,,,
1938,Official reserves outstanding : total #m,AIPD,,,
1938,Other Public Corporations: Net Worth: (B.90): £m: CP: NSA,J99M,,,
1938,PC Finance: Bank deposits & other short term assets #m,EYJU,,,
1938,PC Finance: Other borrowing (other than from bank's or LA's) #m,EYJS,,,
1938,PC Finance: Total transactions in assets #m,EYJT,,,
1938,PC Finance: Transactions in LA debt #m,EYJV,,,
1938,PC Finance: Transactions in other CG debt (Gilts TBs etc) #m,EYJW,,,
1938,PC Notes and coin: Coin,LSJP,,,
1938,PC finance: net payments of National Savings #m,AAGB,,,
1938,PC: Accounts receivable/payable: £m CPNSA,ANVQ,,m,£
1938,PC: Capital grants (net) within public sector (D92&D99): £m CPNSA,ANNG,,m,£
1938,PC: Capital grants from private sector: £m CPNSA,ADSE,,m,£
1938,PC: Current budget deficit (B.6n): £m CPNSA,FDDP,,m,£
1938,PC: Current exp: Interest & divs paid to private sector and RoW (D4): £m CPNSA,GZSO,,m,£
1938,PC: Current receipts: Rent and other current transfers: £m CPNSA,ANCW,,m,£
1938,PC: From central government to public corporations: £m CPNSA,ABEI,,m,£
