date_period,measure,cdid,value,unit,source_dataset,pre_unit,category,population,value_per_capita
1806,o/w pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1807,Business rates,CUKY,,-,PublicFinances1800-2023,,Tax Receipts,,
1807,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023,,Tax Receipts,,
1807,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023,,Tax Receipts,,
1807,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023,,Tax Receipts,,
1807,Current spending3,JW2Q,,-,PublicFinances1800-2023,,Government Spending,,
1807,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,40.0,18,PublicFinances1800-2023,,Tax Receipts,,
1807,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023,,Tax Receipts,,
1807,Debt Interest9,NMFX,23.0,14,PublicFinances1800-2023,,PublicFinances - Other,,
1807,Defence5,,41.0,32,PublicFinances1800-2023,,Government Spending,,
1807,Education8,,,-,PublicFinances1800-2023,,Government Spending,,
1807,Energy profits levy,JIS6,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1807,Gas Levy3,,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1807,Health6,,,-,PublicFinances1800-2023,,Government Spending,,
1807,Income tax1,LIBR-MS62,11.0,5,PublicFinances1800-2023,,Tax Receipts,,
1807,"Index, base year = 100",MM23,12.3,13.5,PublicFinances1800-2023,,PublicFinances - Other,,
1807,Land and Assessed Taxes,,7.0,5,PublicFinances1800-2023,,Tax Receipts,,
1807,License fee receipts,DH7A,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1807,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023,,Tax Receipts,,
1807,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023,,Tax Receipts,,
1807,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",438.0,393,PublicFinances1800-2023,,Economic Indicators,,
1807,Nominal GDP (£m)3,Nominal GDP (£m)3,443.0,355,PublicFinances1800-2023,,Economic Indicators,,
1807,Other Central Government Receipts6,Residual,3.0,3,PublicFinances1800-2023,,PublicFinances - Other,,
1807,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023,,Government Spending,,
1807,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023,,Tax Receipts,,
1807,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023,,Tax Receipts,,
1807,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023,,Tax Receipts,,
1807,Petroleum royalties3,,,-,PublicFinances1800-2023,,Tax Receipts,,
1807,Public sector gross investment4,JW2Z + JW2S,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1807,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",9.0,21,PublicFinances1800-2023,,Fiscal Position,,
1807,Public sector net debt (PSND)2,Public sector net debt (PSND)2,662.0,508,PublicFinances1800-2023,,Fiscal Position,,
1807,Social Security7,,,-,PublicFinances1800-2023,,Government Spending,,
1807,Stamp duties,GTBC,5.0,3,PublicFinances1800-2023,,Tax Receipts,,
1807,Total Central Government spending1,ANLP + ANNS + NSRN,73.0,50,PublicFinances1800-2023,,Government Spending,,
1807,Unit,Source dataset ID,1807.0,1800,PublicFinances1800-2023,,PublicFinances - Other,,
1807,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023,,Tax Receipts,,
