cause,icd_version,cause_description,level1_code,level1_name
56.0,ICD-2 (1911-1920),,,
57A,ICD-2 (1911-1920),Occupational lead poisoning,,
57B,ICD-2 (1911-1920),Non-occupational lead poisoning,,
58.0,ICD-2 (1911-1920),,,
59.0,ICD-2 (1911-1920),,,
6.0,ICD-2 (1911-1920),,,
60.0,ICD-2 (1911-1920),,,
61A,ICD-2 (1911-1920),Cerebro-spinal fever,,
61B,ICD-2 (1911-1920),Posterior basal meningitis,,
61C,ICD-2 (1911-1920),"Meningitis, other forms",,
62.0,ICD-2 (1911-1920),,,
63A,ICD-2 (1911-1920),"Diseases of the spinal cord formerly classed to ""Other nervous affections""",,
63B,ICD-2 (1911-1920),Poliomyelitis,,
63C,ICD-2 (1911-1920),Other diseases of the spinal cord,,
64A,ICD-2 (1911-1920),Apoplexy,,
64B,ICD-2 (1911-1920),Serious apoplexy & oedema of brain,,
64C,ICD-2 (1911-1920),Cerebral congestion,,
64D,ICD-2 (1911-1920),Cerebral atheroma,,
64E,ICD-2 (1911-1920),Cerebral haemorrhage,,
65.0,ICD-2 (1911-1920),,,
66A,ICD-2 (1911-1920),Hemiplegia,,
66B,ICD-2 (1911-1920),Paraplegia,,
66C,ICD-2 (1911-1920),Other forms of paralysis,,
67.0,ICD-2 (1911-1920),,,
68.0,ICD-2 (1911-1920),,,
69.0,ICD-2 (1911-1920),,,
7.0,ICD-2 (1911-1920),,,
70A,ICD-2 (1911-1920),Epileptiform convulsions (5yrs and over),,
70B,ICD-2 (1911-1920),Other convulsions (non-puerperal; 5yrs and over),,
71A,ICD-2 (1911-1920),Convulsions with teething,,
71B,ICD-2 (1911-1920),Other infantile convulsions (<5yrs.),,
72.0,ICD-2 (1911-1920),,,
73A,ICD-2 (1911-1920),"Hysteria, neuralgia, sciatica",,
73B,ICD-2 (1911-1920),Neuritis,,
74A,ICD-2 (1911-1920),"Idiocy, imbecility",,
74B,ICD-2 (1911-1920),Cretinism,,
74C,ICD-2 (1911-1920),Cerebral tumour,,
74D,ICD-2 (1911-1920),Other diseases of nervous system,,
75.0,ICD-2 (1911-1920),,,
76A,ICD-2 (1911-1920),Mastoid disease,,
76B,ICD-2 (1911-1920),Other diseases of ears,,
77.0,ICD-2 (1911-1920),,,
78A,ICD-2 (1911-1920),Acute myocarditis,,
78B,ICD-2 (1911-1920),Infective endocarditis,,
78C,ICD-2 (1911-1920),Other acute endocarditis,,
79A,ICD-2 (1911-1920),Valvular disease,,
79B,ICD-2 (1911-1920),Fatty degeneration of heart,,
79C,ICD-2 (1911-1920),Other organic disease of heart,,
8.0,ICD-2 (1911-1920),,,
80.0,ICD-2 (1911-1920),,,
81A,ICD-2 (1911-1920),Aneurysm,,
81B,ICD-2 (1911-1920),Arterial sclerosis,,
81C,ICD-2 (1911-1920),Other diseases of arteries,,
82A,ICD-2 (1911-1920),Cerebral embolism and thrombosis,,
82B,ICD-2 (1911-1920),Other embolism & thrombosis,,
83A,ICD-2 (1911-1920),Phlebitis,,
83B,ICD-2 (1911-1920),Varix,,
83C,ICD-2 (1911-1920),Pylephlebitis,,
83D,ICD-2 (1911-1920),Variocele,,
84A,ICD-2 (1911-1920),Status lymphaticus,,
84B,ICD-2 (1911-1920),Other diseases of lymphatic system,,
85A,ICD-2 (1911-1920),Functional disease of heart,,
85B,ICD-2 (1911-1920),Epistaxis,,
85C,ICD-2 (1911-1920),Other diseases of circulatory system,,
86.0,ICD-2 (1911-1920),,,
87A,ICD-2 (1911-1920),Laryngismus stridulus,,
87B,ICD-2 (1911-1920),Laryngitis,,
87C,ICD-2 (1911-1920),Other diseases of larynx,,
88.0,ICD-2 (1911-1920),,,
89&90A,ICD-2 (1911-1920),"Bronchiectasis, bronchial catarrh, etc.",,
89&90B,ICD-2 (1911-1920),Other bronchitis,,
91.0,ICD-2 (1911-1920),,,
92A,ICD-2 (1911-1920),Lobar pneumonia,,
92B,ICD-2 (1911-1920),Pneumonia (type not stated),,
93A,ICD-2 (1911-1920),Empyema,,
93B,ICD-2 (1911-1920),Other pleurisy,,
94A,ICD-2 (1911-1920),Pulmonary apoplexy & infarction,,
94B,ICD-2 (1911-1920),Pulmonary oedema & congestion,,
94C,ICD-2 (1911-1920),Hypostatic pneumonia,,
94D,ICD-2 (1911-1920),Collapse of lung (> 3 mths.),,
95.0,ICD-2 (1911-1920),,,
96.0,ICD-2 (1911-1920),,,
97.0,ICD-2 (1911-1920),,,
98A,ICD-2 (1911-1920),Fibroid disease of lung,,
98B,ICD-2 (1911-1920),Other diseases of respiratory system,,
99A,ICD-2 (1911-1920),Diseases of teeth & gums,,
99B,ICD-2 (1911-1920),"Thrush, Aphthous stomatitis",,
99C,ICD-2 (1911-1920),Parotitis,,
99D,ICD-2 (1911-1920),Other diseases of mouth & annexa,,
9A,ICD-2 (1911-1920),Diphtheria,,
9B,ICD-2 (1911-1920),Membranous laryngitis,,
9C,ICD-2 (1911-1920),Croup,,
